id;source;target;label;background-color
1;Project Start;Type of Project;;
2;Type of Project;Type of Study;Continue after choice;
3;Type of Study;Data Availability;Empirical;
4;Data Availability;Data Simulation;;
5;Data Simulation;Experiment Design;;
6;Experiment Design;Data Collection;;
7;Data Collection;Data Validation;;
8;Data Validation;Data Analysis;;
9;Data Analysis;Writing;;
10;Writing;Dissemination;;
11;Dissemination;Project End;;
12;;;;
13;Type of Project;;;
14;Type of Project;Type of Preregistration;;
15;Type of Study;;;
16;Type of Study;Preregistration Metaanalysis;;
17;Experiment Design;;;
18;Experiment Design;Design Framework;;
19;Experiment Design;Sample Size;;
20;Experiment Design;Stimuli;;
21;Dissemination;;;
22;Dissemination;Open Code;;
23;Dissemination;Open Materials;;
24;Dissemination;Open Data;;
25;Dissemination;Presentation;;
26;Type of Preregistration;Preregistration;;
27;Preregistration;Preregistration Framework;;
28;Type of Preregistration;Registered Report;;
29;Registered Report;Registered Report Framework;;
30;Preregistration Framework;OSF Templates;;
31;Preregistration Framework;AsPredicted Templates;;
32;Registered Report Framework;Journal;;
33;;;;
